subNum	 session	 trialNo	 variability	 targPresent	 targSide	 response	 accuracy
5	 2	 58	 10.00	 1	 left	 l	 1
5	 2	 59	 10.00	 1	 right	 l	 1
5	 2	 60	 1.90	 1	 left	 r	 0
5	 2	 61	 1.90	 0	 x	 l	 0
5	 2	 62	 10.00	 0	 x	 r	 1
5	 2	 63	 1.90	 0	 x	 r	 1
5	 2	 64	 1.90	 0	 x	 r	 1
5	 2	 65	 1.90	 1	 left	 l	 1
5	 2	 66	 1.90	 1	 left	 r	 0
5	 2	 67	 1.90	 1	 right	 l	 1
5	 2	 68	 10.00	 1	 left	 l	 1
5	 2	 69	 1.90	 1	 left	 l	 1
5	 2	 70	 1.90	 1	 right	 l	 1
5	 2	 71	 1.90	 1	 left	 r	 0
5	 2	 72	 10.00	 1	 left	 l	 1
5	 2	 73	 1.90	 1	 left	 l	 1
5	 2	 74	 10.00	 0	 x	 r	 1
5	 2	 75	 1.90	 1	 left	 l	 1
5	 2	 76	 1.90	 0	 x	 r	 1
5	 2	 77	 10.00	 0	 x	 r	 1
5	 2	 78	 1.90	 0	 x	 r	 1
5	 2	 79	 10.00	 1	 left	 l	 1
5	 2	 80	 10.00	 1	 left	 l	 1
6	 1	 1	 1.90	 0	 x	 r	 1
6	 1	 2	 1.90	 1	 right	 r	 0
6	 1	 3	 10.00	 1	 left	 l	 1
6	 1	 4	 10.00	 1	 right	 l	 1
6	 1	 5	 10.00	 1	 left	 l	 1
6	 1	 6	 1.90	 0	 x	 r	 1
6	 1	 7	 1.90	 1	 right	 r	 0
6	 1	 8	 1.90	 1	 left	 l	 1
6	 1	 9	 10.00	 0	 x	 r	 1
6	 1	 10	 1.90	 1	 right	 l	 1
6	 1	 11	 10.00	 1	 left	 l	 1
6	 1	 12	 1.90	 0	 x	 r	 1
6	 1	 13	 10.00	 0	 x	 r	 1
6	 1	 14	 1.90	 0	 x	 l	 0
6	 1	 15	 1.90	 0	 x	 l	 0
6	 1	 16	 1.90	 0	 x	 r	 1
6	 1	 17	 1.90	 1	 right	 l	 1
6	 1	 18	 1.90	 0	 x	 l	 0
6	 1	 19	 1.90	 1	 right	 l	 1
6	 1	 20	 10.00	 1	 right	 l	 1
6	 1	 21	 1.90	 1	 left	 l	 1
6	 1	 22	 10.00	 0	 x	 r	 1
6	 1	 23	 1.90	 1	 left	 l	 1
6	 1	 24	 10.00	 0	 x	 r	 1
6	 1	 25	 10.00	 0	 x	 r	 1
6	 1	 26	 1.90	 1	 right	 l	 1
6	 1	 27	 10.00	 0	 x	 r	 1
6	 1	 28	 1.90	 0	 x	 l	 0
6	 1	 29	 10.00	 0	 x	 r	 1
6	 1	 30	 1.90	 1	 right	 l	 1
6	 1	 31	 1.90	 0	 x	 r	 1
6	 1	 32	 10.00	 1	 left	 l	 1
6	 1	 33	 1.90	 0	 x	 r	 1
6	 1	 34	 10.00	 1	 left	 l	 1
6	 1	 35	 10.00	 1	 right	 l	 1
6	 1	 36	 10.00	 0	 x	 r	 1
6	 1	 37	 10.00	 0	 x	 r	 1
6	 1	 38	 1.90	 1	 right	 l	 1
6	 1	 39	 10.00	 0	 x	 r	 1
6	 1	 40	 10.00	 1	 left	 l	 1
6	 1	 41	 10.00	 1	 right	 l	 1
6	 1	 42	 1.90	 1	 left	 r	 0
6	 1	 43	 10.00	 1	 left	 l	 1
6	 1	 44	 10.00	 0	 x	 r	 1
6	 1	 45	 1.90	 1	 left	 l	 1
6	 1	 46	 1.90	 0	 x	 r	 1
6	 1	 47	 10.00	 0	 x	 r	 1
6	 1	 48	 10.00	 0	 x	 r	 1
6	 1	 49	 10.00	 0	 x	 r	 1
6	 1	 50	 10.00	 1	 right	 l	 1
6	 1	 51	 10.00	 1	 right	 l	 1
6	 1	 52	 10.00	 1	 left	 l	 1
6	 1	 53	 1.90	 1	 right	 r	 0
6	 1	 54	 1.90	 0	 x	 l	 0
6	 1	 55	 10.00	 0	 x	 r	 1
6	 1	 56	 10.00	 1	 right	 l	 1
6	 1	 57	 10.00	 0	 x	 r	 1
6	 1	 58	 1.90	 1	 left	 l	 1
6	 1	 59	 10.00	 0	 x	 r	 1
6	 1	 60	 10.00	 0	 x	 r	 1
6	 1	 61	 1.90	 0	 x	 r	 1
6	 1	 62	 1.90	 0	 x	 l	 0
6	 1	 63	 1.90	 1	 left	 l	 1
